demand,damage,inflation,outcome
56.43,59.31,1.82,36.15
56.94,77.77,3.04,11.9
79.2,31.15,2.63,8.73
95.41,27.29,3.44,39.47
46.94,87.02,1.11,8.7
26.46,70.59,2.82,13.45
48.37,5.32,0.97,22.57
79.59,57.95,1.85,80.39
6.45,70.9,3.39,68.54
71.58,59.53,2.85,66.7
41.2,10.41,1.94,22.35
7.57,79.88,0.15,69.78
96.88,16.49,3.31,78.07
89.08,35.89,1.11,84.74
85.99,26.21,0.93,13.72
88.39,24.57,1.3,21.24
33.5,26.54,0.1,55.03
48.46,89.11,3.63,63.23
93.27,58.68,0.07,27.31
6.71,95.64,2.23,53.84
60.45,80.13,3.02,63.46
19.46,90.45,3.31,25.85
87.08,91.28,1.87,34.77
37.17,31.72,2.2,58.25
86.53,96.52,0.12,87.9
45.28,54.86,3.4,17.7
55.36,60.24,3.77,62.79
79.88,62.3,1.99,88.66
28.05,80.1,2.5,22.48
15.57,10.74,2.22,59.95
37.64,18.76,1.98,59.33
3.57,55.08,2.43,63.55
77.64,17.06,3.53,21.1
53.37,13.36,0.62,84.83
4.39,44.42,0.68,53.86
36.86,33.25,1.06,79.95
14.09,95.59,1.29,73.23
67.11,54.86,3.56,61.47
85.12,42.82,1.78,32.56
48.92,37.82,2.61,27.3
82.25,49.23,2.12,21.53
31.62,99.28,0.33,64.14
62.71,82.64,2.86,1.29
6.02,59.02,1.05,62.62
72.58,38.6,0.57,97.6
66.02,57.44,1.06,43.3
96.36,97.76,3.88,9.34
51.87,63.78,3.03,85.51
18.88,37.41,2.08,82.92
11.64,48.02,3.82,7.61
57.06,83.34,0.04,94.23
92.81,9.05,3.42,74.23
88.1,51.08,0.42,17.45
2.64,93.52,3.74,28.62
34.9,94.73,3.35,38.98
